Date,Advancers,Decliners,Neutral
1997-03-03,342,303,170
1997-03-04,347,316,152
1997-03-05,383,248,184
1997-03-06,322,317,177
1997-03-07,423,231,162
1997-03-10,457,201,158
1997-03-11,324,320,172
1997-03-12,205,469,142
1997-03-13,123,545,148
1997-03-14,405,245,166
1997-03-17,245,398,173
1997-03-18,241,424,151
1997-03-19,254,388,174
1997-03-20,234,437,145
1997-03-21,336,298,182
1997-03-24,342,321,153
1997-03-25,327,326,163
1997-03-26,340,318,158
1997-03-27,141,543,132
1997-03-31,145,547,124
1997-04-01,303,344,169
1997-04-02,194,470,152
1997-04-03,229,421,166
1997-04-04,380,252,184
1997-04-07,471,192,153
1997-04-08,375,272,169
1997-04-09,314,346,156
1997-04-10,285,345,186
1997-04-11,108,611,97
1997-04-14,291,370,155
1997-04-15,507,188,121
1997-04-16,400,254,162
1997-04-17,323,331,162
1997-04-18,406,249,161
1997-04-21,243,433,140
1997-04-22,423,226,167
1997-04-23,299,355,162
1997-04-24,295,342,179
1997-04-25,192,446,178
1997-04-28,383,277,156
1997-04-29,548,127,142
1997-04-30,407,249,161
1997-05-01,355,275,187
1997-05-02,582,113,122
1997-05-05,536,151,130
1997-05-06,311,344,163
1997-05-07,218,460,141
1997-05-08,374,292,153
1997-05-09,393,253,173
1997-05-12,479,174,166
1997-05-13,304,353,162
1997-05-14,382,261,176
1997-05-15,346,285,188
1997-05-16,244,399,176
1997-05-19,383,258,178
1997-05-20,364,272,183
1997-05-21,367,303,149
1997-05-22,330,304,185
1997-05-23,495,154,170
1997-05-27,325,321,173
1997-05-28,331,331,157
1997-05-29,365,298,157
1997-05-30,405,228,187
1997-06-02,390,266,164
1997-06-03,400,260,160
1997-06-04,288,376,156
1997-06-05,406,246,168
1997-06-06,480,180,160
1997-06-09,371,279,170
1997-06-10,387,281,152
1997-06-11,364,302,154
1997-06-12,506,184,130
1997-06-13,472,204,145
1997-06-16,323,330,169
1997-06-17,345,323,154
1997-06-18,291,371,160
1997-06-19,467,200,156
1997-06-20,287,382,154
1997-06-23,218,459,146
1997-06-24,464,247,112
1997-06-25,290,418,115
1997-06-26,326,386,111
1997-06-27,479,226,118
1997-06-30,391,344,89
1997-07-01,432,288,104
1997-07-02,462,246,117
1997-07-03,517,180,128
1997-07-07,333,371,121
1997-07-08,440,268,117
1997-07-09,263,459,103
1997-07-10,440,263,122
1997-07-11,438,272,115
1997-07-14,365,339,121
